frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
5,car,0.5266485214233398,0,1788,463,1849,571,0.0,0,0,0,0,
6,car,0.5129689574241638,1,1788,463,1849,569,0.0,0,0,0,0,
8,car,0.5044950246810913,1,1787,463,1848,570,0.0,0,0,0,0,
9,car,0.5137602090835571,1,1787,462,1848,570,0.0,0,0,0,0,
11,car,0.5190430879592896,1,1788,461,1849,569,0.0,0,0,0,0,
12,car,0.5445442795753479,1,1789,461,1849,571,0.0,0,0,0,0,
15,car,0.5321019887924194,1,1789,460,1849,572,0.0,0,0,0,0,
16,car,0.5013697147369385,1,1790,460,1851,572,0.0,0,0,0,0,
18,car,0.513955295085907,1,1790,460,1875,571,0.0,0,0,0,0,
19,car,0.5095606446266174,1,1790,460,1872,571,0.0,0,0,0,0,
22,car,0.5241128206253052,10,984,488,1070,541,0.0,0,0,0,0,
32,car,0.5838868021965027,11,1877,579,1919,694,0.0,0,0,0,0,
33,car,0.62803053855896,4,1865,578,1919,701,0.0,0,0,0,0,
33,car,0.5305476784706116,1,1791,458,1850,567,0.0,0,0,0,0,
34,car,0.72727370262146,4,1845,573,1919,703,0.0,0,0,0,0,
34,car,0.5265819430351257,1,1791,458,1849,567,0.0,0,0,0,0,
35,car,0.7846740484237671,4,1825,554,1919,702,0.0,0,0,0,0,
35,car,0.5341450572013855,1,1789,458,1848,567,0.0,0,0,0,0,
36,car,0.8024359941482544,4,1805,535,1919,702,0.0,0,0,0,0,
36,car,0.5177533030509949,1,1788,459,1847,567,0.0,0,0,0,0,
37,car,0.8411722779273987,4,1786,517,1919,701,0.0,0,0,0,0,
38,car,0.860444188117981,4,1767,502,1919,700,0.0,0,0,0,0,
39,car,0.8382781744003296,4,1747,490,1919,701,0.0,0,0,0,0,
40,car,0.718112587928772,4,1728,487,1919,700,0.0,0,0,0,0,
41,car,0.7947033643722534,4,1711,486,1919,699,0.0,0,0,0,0,
42,car,0.7834782600402832,4,1692,485,1918,699,0.0,0,0,0,0,
43,car,0.8187257051467896,4,1673,484,1919,698,0.0,0,0,0,0,
44,car,0.8499178886413574,4,1655,484,1919,698,0.0,0,0,0,0,
45,car,0.7629963755607605,4,1637,484,1918,699,0.0,0,0,0,0,
46,truck,0.6828420758247375,4,1620,486,1918,700,0.0,0,0,0,0,
47,truck,0.7505186796188354,4,1601,487,1919,700,0.0,0,0,0,0,
48,truck,0.8042886853218079,4,1583,487,1918,699,0.0,0,0,0,0,
49,truck,0.7524139285087585,4,1567,489,1918,698,0.0,0,0,0,0,
50,truck,0.7122716903686523,4,1494,490,1919,697,0.0,0,0,0,0,
51,truck,0.5835654139518738,4,1528,491,1919,697,0.0,0,0,0,0,
52,truck,0.7633974552154541,4,1476,492,1919,696,0.0,0,0,0,0,
53,truck,0.7987096905708313,4,1478,492,1918,696,0.0,0,0,0,0,
54,truck,0.7526295781135559,4,1473,493,1913,695,0.0,0,0,0,0,
55,truck,0.7165507674217224,4,1461,494,1896,695,0.0,0,0,0,0,
56,truck,0.6669299602508545,4,1448,495,1876,694,0.0,0,0,0,0,
57,truck,0.6367475986480713,4,1435,495,1855,694,0.0,0,0,0,0,
58,truck,0.5413252711296082,4,1427,495,1835,693,0.0,0,0,0,0,
59,car,0.6131229996681213,4,1422,497,1815,693,0.0,0,0,0,0,
60,car,0.6845239996910095,4,1422,498,1794,690,0.0,0,0,0,0,
61,car,0.7459890246391296,4,1421,497,1775,691,0.0,0,0,0,0,
62,car,0.7382568717002869,4,1368,499,1753,691,0.0,0,0,0,0,
62,car,0.5117425918579102,1,1788,458,1848,554,0.0,0,0,0,0,
63,car,0.7003402709960938,4,1339,500,1736,690,0.0,0,0,0,0,
63,car,0.5293512940406799,1,1787,458,1847,554,0.0,0,0,0,0,
64,truck,0.5993468165397644,4,1320,500,1716,689,0.0,0,0,0,0,
64,car,0.5164787769317627,1,1787,459,1848,558,0.0,0,0,0,0,
65,truck,0.6796419024467468,4,1302,501,1699,688,0.0,0,0,0,0,
66,truck,0.5870373249053955,4,1285,501,1678,688,0.0,0,0,0,0,
66,car,0.5202685594558716,1,1787,458,1848,564,0.0,0,0,0,0,
67,truck,0.6738723516464233,4,1270,501,1657,687,0.0,0,0,0,0,
67,car,0.5061749815940857,1,1787,458,1848,566,0.0,0,0,0,0,
68,car,0.6279267072677612,4,1256,501,1637,684,0.0,0,0,0,0,
69,car,0.6557101011276245,4,1240,501,1621,680,0.0,0,0,0,0,
69,truck,0.5362827777862549,6,1245,503,1621,681,0.0,0,0,0,0,
70,car,0.5803030729293823,4,1225,503,1551,679,0.0,0,0,0,0,
70,truck,0.5163206458091736,6,1231,504,1605,678,0.0,0,0,0,0,
71,car,0.808754026889801,4,1211,504,1526,678,0.0,0,0,0,0,
72,car,0.7801756858825684,4,1197,505,1520,678,0.0,0,0,0,0,
73,car,0.8947241306304932,4,1181,504,1516,679,0.0,0,0,0,0,
74,car,0.8704503774642944,4,1166,504,1514,679,0.0,0,0,0,0,
75,car,0.685369610786438,4,1151,504,1510,679,0.0,0,0,0,0,
76,car,0.7172030210494995,4,1137,504,1494,678,0.0,0,0,0,0,
77,truck,0.6710608601570129,4,1121,506,1476,677,0.0,0,0,0,0,
77,car,0.554720401763916,6,1121,506,1475,677,0.0,0,0,0,0,
78,truck,0.5113027095794678,4,1108,506,1462,676,0.0,0,0,0,0,
78,car,0.5631170868873596,6,1110,506,1459,676,0.5553467869758606,1110,634,1232,676,
80,car,0.674578845500946,71,1081,505,1400,676,0.0,0,0,0,0,
81,car,0.6223775148391724,4,1065,506,1400,676,0.5402601957321167,1290,598,1400,649,
82,truck,0.5694860816001892,4,1051,507,1387,676,0.0,0,0,0,0,
83,car,0.7881274819374084,4,1038,507,1375,675,0.0,0,0,0,0,
84,car,0.6651427149772644,4,1024,506,1358,674,0.0,0,0,0,0,
85,truck,0.6845717430114746,4,1011,507,1342,673,0.5554808974266052,1094,621,1224,673,
86,car,0.5679850578308105,4,997,507,1326,673,0.0,0,0,0,0,
88,truck,0.5902377367019653,4,966,509,1296,679,0.0,0,0,0,0,
89,truck,0.6530346870422363,4,954,510,1279,678,0.0,0,0,0,0,
90,truck,0.5047288537025452,4,951,510,1263,673,0.506051242351532,1108,620,1227,673,
91,truck,0.5113953948020935,4,949,510,1246,663,0.0,0,0,0,0,
92,truck,0.6175430417060852,4,949,511,1232,657,0.6147931814193726,1023,626,1119,657,
94,car,0.5866128206253052,4,947,510,1200,655,0.0,0,0,0,0,
95,truck,0.7386501431465149,4,949,512,1184,661,0.0,0,0,0,0,
97,truck,0.5660756826400757,4,869,512,1156,674,0.0,0,0,0,0,
98,car,0.5083445906639099,4,845,512,1141,682,0.0,0,0,0,0,
101,truck,0.5539336800575256,4,801,514,1096,664,0.6998500227928162,1023,625,1095,664,
104,truck,0.5628906488418579,4,767,510,1051,668,0.0,0,0,0,0,
105,car,0.5431297421455383,4,755,511,1037,675,0.0,0,0,0,0,
108,car,0.6853764057159424,4,718,513,997,677,0.0,0,0,0,0,
115,car,0.5101166367530823,91,1640,500,1764,588,0.0,0,0,0,0,
131,car,0.6758874654769897,92,1867,554,1919,699,0.0,0,0,0,0,
132,car,0.7493187189102173,11,1850,539,1919,701,0.0,0,0,0,0,
133,car,0.847619354724884,11,1829,526,1919,701,0.0,0,0,0,0,
134,car,0.8463789224624634,11,1812,508,1919,699,0.0,0,0,0,0,
135,car,0.8539498448371887,11,1793,495,1919,700,0.0,0,0,0,0,
136,car,0.8751744031906128,11,1773,484,1919,700,0.0,0,0,0,0,
137,car,0.8563464283943176,11,1754,478,1919,700,0.0,0,0,0,0,
138,car,0.8104913234710693,11,1735,473,1919,700,0.0,0,0,0,0,
139,car,0.7724560499191284,11,1716,471,1919,699,0.0,0,0,0,0,
140,car,0.6770350337028503,11,1696,470,1919,698,0.0,0,0,0,0,
141,car,0.8107367753982544,11,1676,470,1919,698,0.0,0,0,0,0,
142,car,0.7699024677276611,11,1658,470,1918,697,0.0,0,0,0,0,
143,car,0.6952723860740662,11,1639,470,1918,697,0.0,0,0,0,0,
144,car,0.6732185482978821,11,1621,470,1918,696,0.0,0,0,0,0,
145,car,0.8362085819244385,11,1602,470,1919,696,0.0,0,0,0,0,
146,car,0.8526167273521423,11,1585,469,1919,696,0.0,0,0,0,0,
147,car,0.8309490084648132,11,1570,470,1919,699,0.0,0,0,0,0,
148,car,0.607928454875946,11,1495,470,1919,699,0.0,0,0,0,0,
149,truck,0.5839611887931824,11,1465,470,1919,696,0.0,0,0,0,0,
150,truck,0.6442786455154419,11,1482,471,1919,697,0.0,0,0,0,0,
151,car,0.7133910059928894,11,1479,471,1919,696,0.0,0,0,0,0,
152,car,0.6405451893806458,11,1469,471,1919,696,0.0,0,0,0,0,
153,car,0.6106886267662048,11,1453,472,1918,696,0.0,0,0,0,0,
154,truck,0.6803933382034302,11,1439,473,1919,696,0.0,0,0,0,0,
155,truck,0.6531240940093994,11,1429,474,1919,696,0.0,0,0,0,0,
156,car,0.770145058631897,11,1423,475,1911,695,0.0,0,0,0,0,
157,car,0.8181455731391907,11,1419,476,1892,694,0.0,0,0,0,0,
158,car,0.685767412185669,11,1417,477,1870,694,0.0,0,0,0,0,
159,truck,0.712395966053009,11,1368,478,1848,694,0.0,0,0,0,0,
160,car,0.5948553681373596,11,1339,479,1824,692,0.0,0,0,0,0,
161,truck,0.7157584428787231,11,1319,480,1801,690,0.0,0,0,0,0,
162,truck,0.7823490500450134,11,1299,480,1780,690,0.0,0,0,0,0,
163,truck,0.686830997467041,11,1282,482,1757,690,0.0,0,0,0,0,
164,car,0.5735162496566772,11,1263,483,1736,689,0.0,0,0,0,0,
165,car,0.6817691922187805,11,1246,484,1713,687,0.0,0,0,0,0,
165,car,0.7349154353141785,15,1804,576,1918,732,0.0,0,0,0,0,
166,car,0.8204383254051208,11,1230,484,1692,687,0.0,0,0,0,0,
166,car,0.8200026154518127,15,1771,549,1918,728,0.0,0,0,0,0,
167,truck,0.6585339307785034,11,1214,486,1672,686,0.0,0,0,0,0,
