frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
1,car,0.8827173709869385,1,1103,538,1461,799,0.6334342956542969,1103,538,1175,597,
1,person,0.8359558582305908,2,1801,544,1878,738,0.0,0,0,0,0,
1,car,0.78193598985672,3,1040,588,1143,696,0.0,0,0,0,0,
1,car,0.5334622263908386,4,0,562,90,621,0.0,0,0,0,0,
2,car,0.8805199861526489,1,1106,538,1461,799,0.8744767308235168,1202,640,1301,682,03871 LiV
2,person,0.8439455032348633,2,1801,545,1877,739,0.0,0,0,0,0,
2,car,0.7651975750923157,3,1042,589,1142,696,0.0,0,0,0,0,
2,car,0.5185344815254211,4,0,562,90,621,0.0,0,0,0,0,
3,car,0.8880283832550049,1,1108,538,1463,798,0.7476536631584167,1108,538,1186,598,
3,person,0.8489320874214172,2,1800,545,1877,739,0.0,0,0,0,0,
3,car,0.65891432762146,3,1044,589,1142,696,0.0,0,0,0,0,
3,car,0.5203182697296143,4,0,562,90,621,0.0,0,0,0,0,
4,car,0.8788697719573975,1,1110,536,1464,798,0.7337838411331177,1110,536,1179,596,
4,person,0.8499763607978821,2,1801,545,1877,740,0.0,0,0,0,0,
4,car,0.7428539395332336,3,1044,587,1150,695,0.0,0,0,0,0,
5,car,0.8974577188491821,1,1112,536,1466,798,0.7387253642082214,1112,542,1182,597,
5,person,0.8440386652946472,2,1801,547,1878,739,0.0,0,0,0,0,
5,car,0.7069516777992249,3,1046,588,1148,695,0.0,0,0,0,0,
6,car,0.900292694568634,1,1113,534,1467,799,0.7496511340141296,1113,534,1185,597,
6,person,0.8417137265205383,2,1801,547,1878,737,0.0,0,0,0,0,
6,car,0.7681195139884949,3,1047,588,1151,695,0.0,0,0,0,0,
7,car,0.9049129486083984,1,1116,535,1467,798,0.703143298625946,1116,537,1188,597,
7,person,0.8521018028259277,2,1802,547,1877,738,0.0,0,0,0,0,
7,car,0.7543585896492004,3,1048,587,1150,695,0.0,0,0,0,0,
7,car,0.5779162645339966,7,146,530,476,672,0.0,0,0,0,0,
8,car,0.899941086769104,1,1119,536,1467,797,0.7851855158805847,1119,537,1189,598,
8,person,0.8500852584838867,2,1802,547,1876,738,0.0,0,0,0,0,
8,car,0.7304280996322632,3,1050,586,1149,695,0.0,0,0,0,0,
8,car,0.6011331081390381,7,142,530,476,671,0.0,0,0,0,0,
9,car,0.9041639566421509,1,1121,536,1468,797,0.7007655501365662,1121,536,1192,599,
9,person,0.8510193824768066,2,1802,547,1875,738,0.0,0,0,0,0,
9,car,0.7844743728637695,3,1051,587,1148,695,0.0,0,0,0,0,
9,car,0.6163082122802734,7,139,530,475,671,0.0,0,0,0,0,
10,car,0.9087417721748352,1,1122,538,1469,796,0.672147810459137,1122,538,1192,599,
10,person,0.8539193272590637,2,1802,547,1876,738,0.0,0,0,0,0,
10,car,0.7443373799324036,3,1053,587,1151,694,0.0,0,0,0,0,
11,car,0.9000646471977234,1,1125,538,1471,796,0.7031279802322388,1125,538,1195,602,
11,person,0.8522327542304993,2,1802,547,1877,738,0.0,0,0,0,0,
11,car,0.7440467476844788,3,1054,586,1154,693,0.0,0,0,0,0,
