epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6409,2.42281,7.31963,2.46806,0.53981,0.64184,0.56118,0.21851,1.55339,10.7482,1.80547,0.00024,0.00024,0.00024
2,19.9397,1.52275,2.65866,1.72204,0.86092,0.84906,0.9033,0.48644,1.36572,6.00968,1.38962,0.0004967,0.0004967,0.0004967
3,24.3122,1.43712,1.66532,1.48364,0.71484,0.77358,0.7482,0.46792,1.30862,4.90495,1.41366,0.000749968,0.000749968,0.000749968
4,28.3944,1.51086,1.40584,1.47245,0.2623,0.67925,0.25117,0.13955,1.51466,3.90002,1.65657,0.000999804,0.000999804,0.000999804
5,32.4421,1.50386,1.35264,1.47835,0.13258,0.71698,0.12359,0.07206,1.30205,7.85895,1.54893,0.00124621,0.00124621,0.00124621
6,36.4801,1.38263,1.27361,1.39745,0.76977,0.81132,0.79866,0.4163,1.39462,2.38044,1.50554,0.00148918,0.00148918,0.00148918
7,40.3785,1.41154,1.12385,1.39223,0.72109,0.68299,0.74066,0.40595,1.46957,1.5773,1.54403,0.00172872,0.00172872,0.00172872
8,44.368,1.44619,1.12856,1.43589,0.01563,0.03774,0.00267,0.00098,2.74731,8.20807,3.25724,0.0019076,0.0019076,0.0019076
9,48.3476,1.33444,1.18378,1.37604,0.00122,0.35849,0.00084,0.00027,2.72977,16.4586,5.02133,0.0018944,0.0018944,0.0018944
10,52.2088,1.34813,1.13844,1.39628,0.63456,0.42604,0.49441,0.27123,1.5956,1.96189,1.62802,0.0018812,0.0018812,0.0018812
11,56.0331,1.35167,1.07075,1.38461,0.35873,0.73585,0.3194,0.17266,1.42746,4.63509,1.48333,0.001868,0.001868,0.001868
12,59.9321,1.37673,1.05316,1.39546,0.95769,0.88679,0.97306,0.53102,1.43876,2.16097,1.58871,0.0018548,0.0018548,0.0018548
13,63.8915,1.28263,1.05235,1.35589,0.92011,0.86921,0.91665,0.46151,1.50413,2.22693,1.53386,0.0018416,0.0018416,0.0018416
14,67.8356,1.33825,0.99619,1.3609,0.02381,0.54717,0.01922,0.00869,1.9538,17.3002,2.62705,0.0018284,0.0018284,0.0018284
15,71.7501,1.24875,0.95858,1.28296,0.24417,0.26415,0.10771,0.05519,2.11663,3.31566,2.352,0.0018152,0.0018152,0.0018152
16,75.6915,1.29378,0.96169,1.30967,0.14912,0.77358,0.14396,0.08555,1.31165,5.17643,1.47788,0.001802,0.001802,0.001802
17,80.0945,1.32611,1.01112,1.32587,0.47986,0.73585,0.45902,0.27247,1.26669,2.58041,1.46145,0.0017888,0.0017888,0.0017888
